year,sector,energy_products,consumption_ktoe
2016,Commerce and Services-related,Electricity,1521.9
2016,Commerce and Services-related,Natural Gas,92.1
2016,Commerce and Services-related,Others,0
2016,Commerce and Services-related,Petroleum Products,77.3
2016,Households,Coal and Peat,0
2016,Households,Crude Oil,0
2016,Households,Electricity,652.3
2016,Households,Natural Gas,60.9
2016,Households,Others,0
2016,Households,Petroleum Products,25.8
2016,Industry-related,Coal and Peat,166.8
2016,Industry-related,Crude Oil,0
2016,Industry-related,Electricity,1755.7
2016,Industry-related,Natural Gas,1193.5
2016,Industry-related,Others,0
2016,Industry-related,Petroleum Products,6554.3
2016,Others,Coal and Peat,0
2016,Others,Crude Oil,0
2016,Others,Electricity,24.1
2016,Others,Natural Gas,2.6
2016,Others,Others,0
2016,Others,Petroleum Products,0
2016,Transport-related,Coal and Peat,0
2016,Transport-related,Crude Oil,0
2016,Transport-related,Electricity,226.9
2016,Transport-related,Natural Gas,11.2
2016,Transport-related,Others,0
2016,Transport-related,Petroleum Products,2436.5
2017,Commerce and Services-related,Coal and Peat,0
2017,Commerce and Services-related,Crude Oil,0
2017,Commerce and Services-related,Electricity,1553.1
2017,Commerce and Services-related,Natural Gas,88.5
2017,Commerce and Services-related,Others,0
2017,Commerce and Services-related,Petroleum Products,75.2
2017,Households,Coal and Peat,0
2017,Households,Crude Oil,0
2017,Households,Electricity,626.8
2017,Households,Natural Gas,62.2
2017,Households,Others,0
2017,Households,Petroleum Products,25.1
2017,Industry-related,Coal and Peat,600.5
2017,Industry-related,Crude Oil,0
2017,Industry-related,Electricity,1826.4
2017,Industry-related,Natural Gas,1278.4
2017,Industry-related,Others,0
2017,Industry-related,Petroleum Products,6547.3
2017,Others,Coal and Peat,0
2017,Others,Crude Oil,0
2017,Others,Electricity,23.8
2017,Others,Natural Gas,2.4
2017,Others,Others,0
2017,Others,Petroleum Products,0
2017,Transport-related,Coal and Peat,0
2017,Transport-related,Crude Oil,0
2017,Transport-related,Electricity,238
2017,Transport-related,Natural Gas,6.9
2017,Transport-related,Others,0
2017,Transport-related,Petroleum Products,2192
2018,Commerce and Services-related,Coal and Peat,0
2018,Commerce and Services-related,Crude Oil,0
2018,Commerce and Services-related,Electricity,1597.8
2018,Commerce and Services-related,Natural Gas,87.6
2018,Commerce and Services-related,Others,0
2018,Commerce and Services-related,Petroleum Products,74.4
2018,Households,Coal and Peat,0
2018,Households,Crude Oil,0
2018,Households,Electricity,621.8
2018,Households,Natural Gas,63.7
2018,Households,Others,0
2018,Households,Petroleum Products,24.8
2018,Industry-related,Coal and Peat,182.5
2018,Industry-related,Crude Oil,0
2018,Industry-related,Electricity,1841.5
2018,Industry-related,Natural Gas,1321.5
2018,Industry-related,Others,0
2018,Industry-related,Petroleum Products,6520.7
2018,Others,Coal and Peat,0
2018,Others,Crude Oil,0
2018,Others,Electricity,22.2
2018,Others,Natural Gas,3.8
2018,Others,Others,0
2018,Others,Petroleum Products,0
2018,Transport-related,Coal and Peat,0
2018,Transport-related,Crude Oil,0
2018,Transport-related,Electricity,253.6
2018,Transport-related,Natural Gas,2.8
2018,Transport-related,Others,0
2018,Transport-related,Petroleum Products,2111.5
2019,Commerce and Services-related,Coal and Peat,0
2019,Commerce and Services-related,Crude Oil,0
2019,Commerce and Services-related,Electricity,1660.8
2019,Commerce and Services-related,Natural Gas,87.8
2019,Commerce and Services-related,Others,0
2019,Commerce and Services-related,Petroleum Products,70.4
2019,Households,Coal and Peat,0
2019,Households,Crude Oil,0
2019,Households,Electricity,660.5
2019,Households,Natural Gas,63.3
2019,Households,Others,0
2019,Households,Petroleum Products,23.5
2019,Industry-related,Coal and Peat,180.9
2019,Industry-related,Crude Oil,0
2019,Industry-related,Electricity,1843.9
2019,Industry-related,Natural Gas,1325
2019,Industry-related,Others,0
2019,Industry-related,Petroleum Products,7611.1
2019,Others,Coal and Peat,0
2019,Others,Crude Oil,0
2019,Others,Electricity,21.6
2019,Others,Natural Gas,3.6
2019,Others,Others,0
2019,Others,Petroleum Products,0
2019,Transport-related,Coal and Peat,0
2019,Transport-related,Crude Oil,0
2019,Transport-related,Electricity,259.8
2019,Transport-related,Natural Gas,2.7
2019,Transport-related,Others,0
2019,Transport-related,Petroleum Products,2320.1
